zip,dollars,timestamp,date,city,state,latitude,longitude
02301,100,"",2014-05-01,Brockton,MA,42.0794,-71.04
98382,100,"",2014-05-01,Sequim,WA,48.0881,-123.1198
94005,250,"",2014-05-01,Brisbane,CA,37.6811,-122.4001
33950,20,"",2014-05-01,Punta Gorda,FL,26.9152,-82.0532
32256,100,"",2014-05-01,Jacksonville,FL,30.2214,-81.5571
58301,100,"",2014-05-01,DEVILS LAKE,ND,48.1132,-98.8616
98115,100,"",2014-05-01,Seattle,WA,47.6849,-122.2968
53706,100,"",2014-05-01,Madison,WI,43.0769,-89.4094
20005,100,"",2014-05-01,Washington,DC,38.9067,-77.0312
02460,100,"",2014-05-01,Newtonville,MA,42.352,-71.2084
60062,100,"",2014-05-01,Northbrook,IL,42.1254,-87.8465
10011,100,"",2014-05-01,New York,NY,40.7402,-73.9996
10506,100,"",2014-05-01,Bedford,NY,41.1909,-73.6355
20003,20,"",2014-05-01,Washington,DC,38.8829,-76.9895
87111,100,"",2014-05-01,Albuquerque,NM,35.1347,-106.5222
11225,25,"",2014-05-01,Brooklyn,NY,40.6628,-73.9546
57106,100,"",2014-05-01,Sioux Falls,SD,43.5179,-96.7924
55126,50,"",2014-05-01,Shoreview,MN,45.0736,-93.138
55403,10,"",2014-05-01,Minneapolis,MN,44.9673,-93.2828
02492,18,"",2014-05-01,Needham,MA,42.2798,-71.2501
37846,50,"",2014-05-01,Philadelphia,TN,35.6781,-84.4312
27613,50,"",2014-05-01,Raleigh,NC,35.8949,-78.7051
70570,100,"",2014-05-01,Opelousas,LA,30.5144,-92.0897
80013,100,"",2014-05-01,Aurora,CO,39.6575,-104.7846
12203,100,"",2014-05-01,Albany,NY,42.7003,-73.8575
55117,100,"",2014-05-01,St. Paul,MN,44.9995,-93.0969
61073,50,"",2014-05-01,Roscoe,IL,42.4217,-88.9943
30308,20,"",2014-05-01,Atlanta,GA,33.7718,-84.3757
32168,100,"",2014-05-01,New Smyrna Beach,FL,29.0247,-80.9584
55306,100,"",2014-05-01,Burnsville,MN,44.7307,-93.2921
44515,50,"",2014-05-01,Youngstown,OH,41.0979,-80.7598
02467,20,"",2014-05-01,Chestnut Hill,MA,42.3164,-71.1612
91752,100,"",2014-05-01,Mira Loma,CA,33.9938,-117.5236
24091,100,"",2014-05-01,floyd,VA,36.8957,-80.3275
03235,50,"",2014-05-01,Franklin,NH,43.4426,-71.6491
03861,100,"",2014-05-01,Lee,NH,43.1192,-70.9969
03431,15,"",2014-05-01,Keene,DC,42.9627,-72.2955
94941,18,"",2014-05-01,Mill Valley,CA,37.8958,-122.5339
60637,50,"",2014-05-01,Chicago,IL,41.7813,-87.6051
20151,100,"",2014-05-01,Chantilly,VA,38.8867,-77.4457
98028,100,"",2014-05-01,Kenmore,WA,47.7542,-122.2475
43017,50,"",2014-05-01,Dublin,OH,40.1093,-83.1146
18018,200,"",2014-05-01,Bethlehem,PA,40.6278,-75.3928
56736,20,"",2014-05-01,Mentor,MN,47.6576,-96.1778
11375,200,"",2014-05-01,Forest Hills,NY,40.7229,-73.8473
47124,100,"",2014-05-01,"Greenville, IN",IN,38.3535,-86.0083
30319,20,"",2014-05-01,Atlanta,GA,33.8687,-84.3351
94122,100,"",2014-05-01,San Francisco,CA,37.7593,-122.4836
14169,100,"",2014-05-01,Berlin, ,42.7673,-78.5856
97032,10,"",2014-05-01,Hubbard,OR,45.1604,-122.7541
94066,10,"",2014-05-01,San Bruno,CA,37.6247,-122.429
01748,100,"",2014-05-01,Hopkinton,MA,42.219,-71.5302
19125,60,"",2014-05-01,Philadelphia,PA,39.9788,-75.1262
02138,100,"",2014-05-01,Cambridge,MA,42.377,-71.1256
65037,10,"",2014-05-01,Gravois Mills,MO,38.2584,-92.823
23451,20,"",2014-05-01,Virginia Beach,DC,36.8585,-76.0019
30605,10,"",2014-05-01,Athens,GA,33.9321,-83.3525
94060,1,"",2014-05-01,Pescadero,CA,37.2065,-122.3649
